Маршрут (A — B),Рейтинг,Сделок,Поездок (строк),Водителей (уникальных),Сумма ставок,Средняя ставка
Тюмень — Улан-Удэ,0.0016,1,1,1,65000,65000.0
Армавир — Ханты-Мансийск,0.0016,1,1,1,65000,65000.0
Оренбург — Санкт-Петербург,0.0015,1,1,1,60800,60800.0
Петрозаводск — Ростов-на-Дону,0.0015,1,1,1,63000,63000.0
Омск — Пятигорск,0.0014,1,1,1,57500,57500.0
Тверь — Уссурийск,0.0014,1,1,1,60000,60000.0
Минеральные Воды — Новосибирск,0.0014,1,1,1,57500,57500.0
Воронеж — Новосибирск,0.0014,1,1,1,60000,60000.0
Владимир — Иркутск,0.0014,1,1,1,60000,60000.0
Кемерово — Санкт-Петербург,0.0013,1,1,1,55000,55000.0
Краснодар — Краснодар,0.0013,2,2,1,9500,4750.0
Санкт-Петербург — Симферополь,0.0013,1,1,1,55000,55000.0
Москва — Тамбов,0.0013,1,1,1,55000,55000.0
Омск — Ярославль,0.0013,1,1,1,55000,55000.0
Благовещенск — Тюмень,0.0012,1,1,1,50000,50000.0
Санкт-Петербург — Уфа,0.0012,1,1,1,50000,50000.0
Красноярск — Ростов-на-Дону,0.0012,1,1,1,50000,50000.0
Иркутск — Тюмень,0.0012,1,1,1,50000,50000.0
Ижевск — Санкт-Петербург,0.0012,1,1,1,50000,50000.0
Невинномысск — Челябинск,0.0012,1,1,1,50000,50000.0
Нижний Новгород — Тюмень,0.0011,1,1,1,45000,45000.0
Омск — Саратов,0.0011,1,1,1,45000,45000.0
Барнаул — Санкт-Петербург,0.0011,1,1,1,47500,47500.0
- — -,0.0011,2,2,1,0,0.0
Москва — Тобольск,0.0011,1,1,1,45000,45000.0
Владикавказ — Екатеринбург,0.0011,1,1,1,47000,47000.0
Иркутск — Омск,0.0011,1,1,1,45000,45000.0
Красноярск — Кызыл,0.0011,1,1,1,45000,45000.0
Набережные Челны — Санкт-Петербург,0.001,1,1,1,43000,43000.0
Ростов-на-Дону — Челябинск,0.001,1,1,1,42000,42000.0
Минеральные Воды — Челябинск,0.001,1,1,1,40000,40000.0
Красноярск — Хабаровск,0.001,1,1,1,40000,40000.0
Москва — Саратов,0.001,1,1,1,40000,40000.0
Армавир — Тольятти,0.001,1,1,1,42000,42000.0
